acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Latitude,Longitude
211,,Slight,1,1,31/12/2011,Saturday,31,December,11,16,45,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,319900,672730,0,Unset,Pedestrian,352065,unset,EH127SS,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9409756801,-3.282526661
511,,Serious,1,1,31/12/2011,Saturday,31,December,11,15,20,230,A,702,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324930,672730,549180,Segment,Pedestrian,352066,unset,EH39LH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9417874992,-3.20200906958
711,,Serious,1,1,01/01/2011,Saturday,1,January,11,0,25,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,319420,669780,12226642,Junction,Pedestrian,365392,unset,EH142SR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9143939142,-3.28932968989
1511,,Slight,2,1,25/12/2011,Sunday,25,December,11,16,30,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine with high winds,Dry,None,Other object in carriageway,No overtaking,320630,671310,564484,Segment,Cyclist,352067,unset,EH113RQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9283400045,-3.27042388323
4111,,Serious,2,1,04/01/2011,Tuesday,4,January,11,7,15,230,A,902,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,322590,675000,563709,Segment,Cyclist,365393,unset,EH42NF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9618094064,-3.24011882732
4211,,Slight,2,1,04/01/2011,Tuesday,4,January,11,8,5,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Raining (without high winds),Dry,None,None,No overtaking,321360,671790,522177,Junction,T.V.N.P.,365394,unset,EH113JX,Control by other authorised person,Zebra crossing,At scene,55.932772087,-3.25888225398
6511,,Slight,1,1,05/01/2011,Wednesday,5,January,11,7,49,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,331660,667950,2579269,Segment,S.V.N.P.,365395,unset,EH221RT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.8998468186,-3.09306324946
7611,,Slight,2,1,05/01/2011,Wednesday,5,January,11,7,0,230,A,720,Dual carriageway - 2 lanes,70,Not at or within 20 metres of junction,unset,\,,Darkness: no street lighting,Snowing (without high winds),Dry,None,None,No overtaking,327620,666910,2588028,Segment,T.V.N.P.,365396,unset,EH178SG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.8899129907,-3.15738836866
8111,,Slight,2,1,06/01/2011,Thursday,6,January,11,6,45,230,B,900,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Unknown,Dry,None,None,No overtaking,323510,674610,520098,Junction,Cyclist,365397,unset,EH42DL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9584531257,-3.22527341024
8411,,Serious,1,1,05/01/2011,Wednesday,5,January,11,17,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,322270,675630,563950,Segment,Pedestrian,365398,unset,EH44AJ,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9674174459,-3.24542569281
9111,,Slight,2,1,05/01/2011,Wednesday,5,January,11,17,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,326270,673460,558290,Segment,Cyclist,365399,unset,EH89UY,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9485531562,-3.18075792057
10111,,Slight,1,1,06/01/2011,Thursday,6,January,11,10,45,230,B,701,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319200,673720,551723,Segment,Bus,365400,unset,EH128TD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9497522333,-3.29402813358
12611,,Slight,2,2,07/01/2011,Friday,7,January,11,8,0,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,323690,673230,521301,Junction,T.V.N.P.,365401,unset,EH125JH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9460841467,-3.22200016798
14011,,Slight,2,1,06/01/2011,Thursday,6,January,11,14,50,230,A,772,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328660,669330,530215,Junction,Cyclist,365402,unset,EH177JG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9118097031,-3.14140033176
14411,,Slight,2,1,07/01/2011,Friday,7,January,11,18,15,230,Unclassified,,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Snowing (without high winds),Dry,None,None,No overtaking,326310,673070,521592,Junction,T.V.N.P.,365403,unset,EH89RR,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9450555631,-3.18001092609
17111,,Slight,2,2,08/01/2011,Saturday,8,January,11,10,0,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Other,Dry,None,None,No overtaking,312829,672239,12282105,Junction,T.V.N.P.,365404,unset,EH288QR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9353347735,-3.39554961131
20611,,Serious,3,1,09/01/2011,Sunday,9,January,11,13,20,230,Unclassified,,Single carriageway - 2 lanes,30,Mini-roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324549,674069,0,Unset,Pedestrian,365405,unset,EH36AJ,Control by other authorised person,Central refuge - no other controls,At scene,55.9537571899,-3.2084826899
21711,,Slight,1,1,09/01/2011,Sunday,9,January,11,16,40,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,320200,669500,12216331,Junction,Pedestrian,365406,unset,EH143AS,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.9120084785,-3.27677003679
22311,,Slight,1,1,09/01/2011,Sunday,9,January,11,3,30,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,326160,673060,569460,Segment,Pedestrian,365407,unset,EH89EW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9449427034,-3.18240959018
22411,,Slight,1,1,09/01/2011,Sunday,9,January,11,13,38,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,328570,669770,12240578,Segment,Pedestrian,365408,unset,EH177RE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9157493503,-3.14295625394
23611,,Slight,1,1,10/01/2011,Monday,10,January,11,9,0,230,C,,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326200,673540,521139,Junction,Pedestrian,365409,unset,EH89UE,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.9492611246,-3.18190057036
24711,,Slight,2,1,03/01/2011,Monday,3,January,11,8,15,230,A,71,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,321990,671690,549737,Segment,T.V.N.P.,365410,unset,EH113AF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9319763319,-3.24877091437
25911,,Serious,1,1,11/01/2011,Tuesday,11,January,11,14,20,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,327890,674590,520326,Junction,Pedestrian,365411,unset,EH76BR,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9589508708,-3.15512250377
26211,,Slight,1,1,11/01/2011,Tuesday,11,January,11,13,35,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Stop sign,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319350,672810,521670,Junction,Pedestrian,365412,unset,EH127TZ,Control by other authorised person,Central refuge - no other controls,At scene,55.9416024064,-3.29135443196
26611,,Slight,2,1,10/01/2011,Monday,10,January,11,11,45,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,C,,Daylight: no street lighting,Raining (without high winds),Dry,None,None,No overtaking,321930,672480,521916,Junction,T.V.N.P.,365413,unset,EH125TT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9390637198,-3.24995965035
30311,,Slight,3,1,12/01/2011,Wednesday,12,January,11,17,0,230,B,6415,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Other,Dry,None,None,No overtaking,330440,673970,523581,Junction,Cyclist,365414,unset,EH151AL,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.9537567271,-3.11412315837
35411,,Slight,2,1,14/01/2011,Friday,14,January,11,12,30,230,A,902,Single carriageway - 2 lanes,30,Other junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322230,674900,520050,Junction,T.V.N.P.,365415,unset,EH42LX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9608528881,-3.24585568367
39511,,Slight,2,1,16/01/2011,Sunday,16,January,11,12,9,230,B,9085,Single carriageway - 2 lanes,30,Mini-roundabout,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine with high winds,Dry,None,None,No overtaking,320550,675430,519747,Junction,T.V.N.P.,365416,unset,EH45BX,Control by other authorised person,Zebra crossing,At scene,55.9653392621,-3.27291776156
39711,,Slight,2,1,16/01/2011,Sunday,16,January,11,16,30,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,327030,672030,568132,Segment,T.V.N.P.,365417,unset,EH165AQ,Control by other authorised person,Central refuge - no other controls,At scene,55.935822087,-3.16820287129
39811,,Slight,2,2,15/01/2011,Saturday,15,January,11,18,45,230,Unclassified,,Single carriageway - 2 lanes,30,Other junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Raining (without high winds),Dry,None,None,No overtaking,328580,672710,523701,Junction,T.V.N.P.,365418,unset,EH151ST,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9421639759,-3.14357397345
41011,,Slight,2,1,17/01/2011,Monday,17,January,11,9,5,230,A,702,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324720,673630,520947,Junction,Cyclist,365419,unset,EH12DA,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9498401114,-3.20562192406
41611,,Slight,1,1,17/01/2011,Monday,17,January,11,8,30,230,A,8,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325610,673930,550553,Segment,Pedestrian,365420,unset,EH22EJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.952673869,-3.1914546835
42411,,Slight,2,1,17/01/2011,Monday,17,January,11,19,0,230,Unclassified,,Single carriageway - 2 lanes,30,Crossroads,Give way sign or markings,B,701,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328650,668460,530335,Junction,T.V.N.P.,365421,unset,EH178LG,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9039920555,-3.14133068822
43011,,Slight,2,1,18/01/2011,Tuesday,18,January,11,8,50,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328050,674950,557479,Segment,Cyclist,365422,unset,EH76EF,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.962209096,-3.15265619143
43111,,Slight,2,1,16/01/2011,Sunday,16,January,11,8,55,230,A,8,Dual carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,A,702,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,324690,673670,520920,Junction,Bus,365423,unset,EH12AD,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.950194764,-3.20611343144
43411,,Slight,2,1,11/01/2011,Tuesday,11,January,11,12,15,230,A,8,One way Street,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324250,673360,561065,Segment,Cyclist,365424,unset,EH38HP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9473406279,-3.21307131707
43811,,Slight,1,1,17/01/2011,Monday,17,January,11,15,50,230,A,8,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,322920,673230,521268,Junction,Pedestrian,365425,unset,EH126AA,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9459612763,-3.23432746171
44211,,Slight,2,1,18/01/2011,Tuesday,18,January,11,13,20,230,Unclassified,,Single carriageway - 2 lanes,30,Using private drive or entrance,Give way sign or markings,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,326010,675920,10217458,Junction,T.V.N.P.,365426,unset,EH65RQ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9706135487,-3.18559616763
45511,,Slight,1,1,18/01/2011,Tuesday,18,January,11,14,15,230,B,900,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,324450,674660,554192,Segment,Pedestrian,365427,unset,EH41HX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.959051063,-3.21023361388
47011,,Slight,1,1,19/01/2011,Wednesday,19,January,11,11,20,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328200,674170,2106118,Segment,Bus,365428,unset,EH87AX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9552240242,-3.15004588468
47611,,Slight,5,1,18/01/2011,Tuesday,18,January,11,18,30,230,A,902,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,318450,674650,566078,Segment,M.V.N.P.,365429,unset,EH48AW,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.957980182,-3.30631737652
47711,,Slight,1,1,19/01/2011,Wednesday,19,January,11,13,10,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325300,673060,521466,Junction,Pedestrian,365430,unset,EH39EN,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.944809816,-3.19617752689
48411,,Slight,2,1,19/01/2011,Wednesday,19,January,11,18,38,230,Unclassified,,Roundabout,30,Roundabout,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,319190,671820,9658557,Junction,Cyclist,365431,unset,EH129EU,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9326818245,-3.2936191345
49011,,Serious,1,2,20/01/2011,Thursday,20,January,11,8,20,230,Unclassified,,Single carriageway - 2 lanes,40,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lighting unknown,Fine (without high winds),Dry,None,None,No overtaking,312160,672830,517558,Junction,Pedestrian,365432,unset,EH288SJ,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.9405220529,-3.40644862036
49911,,Slight,1,1,20/01/2011,Thursday,20,January,11,12,30,230,A,1,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,328330,674160,523374,Junction,Pedestrian,365433,unset,EH87AA,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.9551535937,-3.14796144053
50511,,Slight,2,1,20/01/2011,Thursday,20,January,11,13,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,329290,673410,0,Unset,T.V.N.P.,365434,unset,EH87RL,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.948557791,-3.13239150858
51111,,Slight,1,1,19/01/2011,Wednesday,19,January,11,17,30,230,B,6415,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present but unlit,Fine (without high winds),Dry,None,None,No overtaking,330350,674060,523470,Junction,Pedestrian,365435,unset,EH151AN,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9545522593,-3.11558761027
51711,,Slight,2,1,18/01/2011,Tuesday,18,January,11,17,50,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,320340,670830,0,Unset,T.V.N.P.,365436,unset,EH114SB,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.923979917,-3.27492284131
52211,,Slight,1,1,20/01/2011,Thursday,20,January,11,21,0,230,A,90,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: no street lighting,Unknown,Dry,None,None,No overtaking,324440,673840,520896,Junction,Pedestrian,365437,unset,EH37TT,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,At scene,55.9516827686,-3.21016389904
53311,,Slight,2,1,19/01/2011,Wednesday,19,January,11,18,10,230,A,900,Roundabout,30,Roundabout,Give way sign or markings,B,1350,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326140,674490,520239,Junction,Cyclist,365438,unset,EH13AF,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,55.9577866107,-3.18312151977
54511,,Slight,1,1,21/01/2011,Friday,21,January,11,18,30,230,A,900,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326520,675060,2578457,Junction,Pedestrian,365439,unset,EH74NZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9629657098,-3.17719139869
55411,,Slight,2,1,21/01/2011,Friday,21,January,11,7,30,230,C,,Roundabout,30,Roundabout,Give way sign or markings,B,901,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,325750,674660,520200,Junction,Cyclist,365440,unset,EH36LX,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9592537513,-3.18941403689
56511,,Slight,2,2,22/01/2011,Saturday,22,January,11,22,40,230,A,70,Single carriageway - 2 lanes,40,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,321700,670480,561808,Segment,T.V.N.P.,365441,unset,EH142LZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9210589181,-3.25306109181
56611,,Slight,1,1,22/01/2011,Saturday,22,January,11,21,30,230,A,7,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326110,673140,569282,Segment,Pedestrian,365442,unset,EH89BZ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9456537323,-3.18323197099
57011,,Slight,2,4,23/01/2011,Sunday,23,January,11,3,40,230,A,701,Single carriageway - 2 lanes,30,Crossroads,Automatic Traffic Signal,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,327190,671010,523077,Junction,T.V.N.P.,365444,unset,EH165PD,No crossing facility within 50m or physical crossing facility not controlled by authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9266826752,-3.16536686754
58911,,Serious,2,1,23/01/2011,Sunday,23,January,11,20,20,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,329780,673310,553606,Segment,T.V.N.P.,365445,unset,EH151NE,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9477312281,-3.12452002695
60511,,Slight,1,1,24/01/2011,Monday,24,January,11,8,30,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,320600,671760,565352,Segment,Pedestrian,365446,unset,EH113NR,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9323776895,-3.27103628631
61911,,Slight,2,1,20/01/2011,Thursday,20,January,11,11,20,230,A,71,Dual carriageway - 2 lanes,40,Other junction,Give way sign or markings,C,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,321220,671440,529537,Junction,T.V.N.P.,365447,unset,EH113LJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9296048868,-3.26102065046
62311,,Slight,1,1,25/01/2011,Tuesday,25,January,11,12,20,230,C,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323280,676920,559694,Segment,Pedestrian,365448,unset,EH51HP,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9791688519,-3.22961481311
63111,,Serious,2,3,21/01/2011,Friday,21,January,11,12,54,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,312380,674090,10261158,Segment,T.V.N.P.,365449,unset,EH299DY,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9518809447,-3.40333662042
63711,,Slight,2,1,25/01/2011,Tuesday,25,January,11,12,30,230,A,8,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,319260,672910,550674,Segment,T.V.N.P.,365450,unset,EH128HH,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,Elsewhere,55.9424856528,-3.29282501323
64411,,Slight,1,1,25/01/2011,Tuesday,25,January,11,13,45,230,Unclassified,,Single carriageway - 2 lanes,30,'T' or staggered junction,Automatic Traffic Signal,Unclassified,,Daylight: street lights present,Fine (without high winds),Dry,None,None,No overtaking,323140,671990,522267,Junction,Pedestrian,365451,unset,EH111PR,Control by other authorised person,Pedestrian phase at traffic signal junction,At scene,55.9348566448,-3.23045214233
64911,,Slight,2,1,26/01/2011,Wednesday,26,January,11,19,37,230,Unclassified,,Single carriageway - 2 lanes,40,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,312400,672540,12231700,Junction,T.V.N.P.,365452,unset,EH288PJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9379607345,-3.40251301173
65211,,Slight,1,1,26/01/2011,Wednesday,26,January,11,17,0,230,Unclassified,,Single carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,324270,672980,559245,Segment,Bus,365453,unset,EH38AX,Control by other authorised person,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",At scene,55.9439299308,-3.21264441853
66511,,Fatal,2,3,26/01/2011,Wednesday,26,January,11,11,45,230,A,71,Single carriageway - 2 lanes,50,Not at or within 20 metres of junction,unset,\,,Daylight: no street lighting,Fine (without high winds),Dry,None,None,No overtaking,313460,668610,549671,Segment,T.V.N.P.,365454,unset,EH278ED,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.9028485804,-3.38428862307
66811,,Slight,1,1,27/01/2011,Thursday,27,January,11,0,4,230,A,900,Dual carriageway - 2 lanes,30,Not at or within 20 metres of junction,unset,\,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,None,No overtaking,326050,674390,558509,Segment,Bus,365455,unset,EH13AA,Control by other authorised person,Pedestrian phase at traffic signal junction,Elsewhere,55.9568743767,-3.18453539406
67211,,Slight,1,1,23/01/2011,Sunday,23,January,11,20,15,230,A,903,Single carriageway - 2 lanes,30,'T' or staggered junction,Give way sign or markings,Unclassified,,Darkness: street lights present and lit,Fine (without high winds),Dry,None,Any animal in carriagway (except riden hors,No overtaking,324160,676900,519025,Junction,S.V.N.P.,365456,unset,EH51AJ,No crossing facility within 50m or physical crossing facility not controlled by authorised person,No physical crossing facility within 50m,At scene,55.979129014,-3.21550874071
